DISTRICT,DATE,POLLULLANT,TYPE,URBAN_AREA,RATIO,ID,Status,MEAN
SANT MARTÍ,2023-03-14,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,2.305251984375
SANT MARTÍ,2023-03-14,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Good,15.805251984375
SANT MARTÍ,2023-03-14,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,26.367503607954546
CIUTAT VELLA,2023-03-14,NO,background,urban,GREEN_AREA_Q3,Low,Good,2.2916666666666665
LES CORTS,2023-03-13,NO,background,urban,GREEN_AREA_Q2,Low,Good,4.791666666666667
LES CORTS,2023-03-13,O3,background,urban,GREEN_AREA_Q2,Low,Good,45.041666666666664
SARRIÀ - SANT GERVASI,2023-03-13,O3,background,suburban,GREEN_AREA_Q1,Low,Regular,71.04166666666667
CIUTAT VELLA,2023-03-13,NOX,background,urban,GREEN_AREA_Q3,Low,Regular,47.958333333333336
SARRIÀ - SANT GERVASI,2023-03-13,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,17.541666666666668
SANTS - MONTJUÏC,2023-03-13,NO,background,urban,GREEN_AREA_Q2,High,Good,5.0
HORTA - GUINARDÓ,2023-03-13,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,819.0803723333332
EIXAMPLE,2023-03-13,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,216.66666666666666
GRÀCIA,2023-03-13,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,31.625
GRÀCIA,2023-03-13,NOX,traffic,urban,GREEN_AREA_Q4,Low,Regular,44.166666666666664
GRÀCIA,2023-03-13,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,25.0
EIXAMPLE,2023-03-13,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,50.583333333333336
GRÀCIA,2023-03-13,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.375
SANT MARTÍ,2023-03-13,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,29.5
HORTA - GUINARDÓ,2023-03-13,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,26.563580372333334
SARRIÀ - SANT GERVASI,2023-03-13,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.75
LES CORTS,2023-03-13,PM10,background,urban,GREEN_AREA_Q2,Low,Good,14.333333333333334
SANTS - MONTJUÏC,2023-03-13,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,33.291666666666664
SARRIÀ - SANT GERVASI,2023-03-13,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,10.833333333333334
GRÀCIA,2023-03-13,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,300.0
NOU BARRIS - SANT ANDREU,2023-03-13,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,35.76368581249998
HORTA - GUINARDÓ,2023-03-13,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,37.13858037233333
SANT MARTÍ,2023-03-13,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,27.625
SANT MARTÍ,2023-03-13,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,11.083333333333334
EIXAMPLE,2023-03-13,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.0
HORTA - GUINARDÓ,2023-03-13,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,3.6135803723333333
GRÀCIA,2023-03-13,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,8.25
LES CORTS,2023-03-13,PM2.5,background,urban,GREEN_AREA_Q2,Low,Regular,10.291666666666666
LES CORTS,2023-03-13,NO2,background,urban,GREEN_AREA_Q2,Low,Reasonably good,25.791666666666668
CIUTAT VELLA,2023-03-13,O3,background,urban,GREEN_AREA_Q3,Low,Good,35.583333333333336
HORTA - GUINARDÓ,2023-03-13,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,7.933580372333334
EIXAMPLE,2023-03-13,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,33.208333333333336
LES CORTS,2023-03-13,CO,background,urban,GREEN_AREA_Q2,Low,Good,204.16666666666666
NOU BARRIS - SANT ANDREU,2023-03-13,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Unfavorable,69.8261858125
SARRIÀ - SANT GERVASI,2023-03-13,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,8.583333333333334
SANT MARTÍ,2023-03-13,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Regular,45.916666666666664
LES CORTS,2023-03-13,NOX,background,urban,GREEN_AREA_Q2,Low,Reasonably good,32.583333333333336
CIUTAT VELLA,2023-03-13,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,35.041666666666664
EIXAMPLE,2023-03-13,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,11.458333333333334
EIXAMPLE,2023-03-13,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,35.916666666666664
CIUTAT VELLA,2023-03-13,NO,background,urban,GREEN_AREA_Q3,Low,Good,8.541666666666666
LES CORTS,2023-03-13,SO2,background,urban,GREEN_AREA_Q2,Low,Good,3.0833333333333335
GRÀCIA,2023-03-13,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,41.916666666666664
HORTA - GUINARDÓ,2023-03-13,O3,background,urban,GREEN_AREA_Q1,Moderate,Good,46.13858037233333
SANTS - MONTJUÏC,2023-03-13,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,25.916666666666668
NOU BARRIS - SANT ANDREU,2023-03-13,NO,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,23.82618581249999
GRÀCIA,2023-03-12,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,3.0416666666666665
EIXAMPLE,2023-03-12,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,38.375
HORTA - GUINARDÓ,2023-03-12,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,21.25
LES CORTS,2023-03-12,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.625
SANT MARTÍ,2023-03-12,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Good,18.75
NOU BARRIS - SANT ANDREU,2023-03-12,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,21.833333333333332
SARRIÀ - SANT GERVASI,2023-03-12,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,14.291666666666666
CIUTAT VELLA,2023-03-12,NO,background,urban,GREEN_AREA_Q3,Low,Good,1.4583333333333333
SANTS - MONTJUÏC,2023-03-12,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,24.916666666666668
LES CORTS,2023-03-12,NOX,background,urban,GREEN_AREA_Q2,Low,Good,19.0
SARRIÀ - SANT GERVASI,2023-03-12,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,6.333333333333333
HORTA - GUINARDÓ,2023-03-12,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,2.0416666666666665
EIXAMPLE,2023-03-12,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.0
LES CORTS,2023-03-12,PM10,background,urban,GREEN_AREA_Q2,Low,Good,7.041666666666667
GRÀCIA,2023-03-12,PM10,traffic,urban,GREEN_AREA_Q4,Low,Good,19.041666666666668
SARRIÀ - SANT GERVASI,2023-03-12,O3,background,suburban,GREEN_AREA_Q1,Low,Reasonably good,63.458333333333336
EIXAMPLE,2023-03-12,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,39.125
LES CORTS,2023-03-12,NO2,background,urban,GREEN_AREA_Q2,Low,Good,17.666666666666668
SANTS - MONTJUÏC,2023-03-12,NO,background,urban,GREEN_AREA_Q2,High,Good,1.7916666666666667
LES CORTS,2023-03-12,NO,background,urban,GREEN_AREA_Q2,Low,Good,1.25
SANTS - MONTJUÏC,2023-03-12,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,22.5
SANT MARTÍ,2023-03-12,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,21.25
GRÀCIA,2023-03-12,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.625
CIUTAT VELLA,2023-03-12,NOX,background,urban,GREEN_AREA_Q3,Low,Reasonably good,21.125
NOU BARRIS - SANT ANDREU,2023-03-12,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,26.333333333333332
HORTA - GUINARDÓ,2023-03-12,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,2.7916666666666665
GRÀCIA,2023-03-12,NOX,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,24.25
LES CORTS,2023-03-12,CO,background,urban,GREEN_AREA_Q2,Low,Good,229.16666666666666
CIUTAT VELLA,2023-03-12,O3,background,urban,GREEN_AREA_Q3,Low,Good,41.5
EIXAMPLE,2023-03-12,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,220.83333333333334
CIUTAT VELLA,2023-03-12,NO2,background,urban,GREEN_AREA_Q3,Low,Good,19.291666666666668
SARRIÀ - SANT GERVASI,2023-03-12,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,8.083333333333334
HORTA - GUINARDÓ,2023-03-12,NO2,background,urban,GREEN_AREA_Q1,Moderate,Good,18.458333333333332
SARRIÀ - SANT GERVASI,2023-03-12,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.25
EIXAMPLE,2023-03-12,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,26.666666666666668
EIXAMPLE,2023-03-12,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,7.75
GRÀCIA,2023-03-12,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,46.583333333333336
HORTA - GUINARDÓ,2023-03-12,O3,background,urban,GREEN_AREA_Q1,Moderate,Good,47.5
HORTA - GUINARDÓ,2023-03-12,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,212.5
LES CORTS,2023-03-12,PM2.5,background,urban,GREEN_AREA_Q2,Low,Reasonably good,5.25
LES CORTS,2023-03-12,O3,background,urban,GREEN_AREA_Q2,Low,Good,45.166666666666664
GRÀCIA,2023-03-12,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,237.5
SANT MARTÍ,2023-03-12,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,1.6666666666666667
NOU BARRIS - SANT ANDREU,2023-03-12,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,3.0416666666666665
GRÀCIA,2023-03-12,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,20.416666666666668
SANT MARTÍ,2023-03-12,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Good,18.583333333333332
EIXAMPLE,2023-03-11,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.0
SANTS - MONTJUÏC,2023-03-11,NO,background,urban,GREEN_AREA_Q2,High,Good,1.0833333333333333
SARRIÀ - SANT GERVASI,2023-03-11,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,18.333333333333332
SARRIÀ - SANT GERVASI,2023-03-11,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.0
EIXAMPLE,2023-03-11,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,57.083333333333336
CIUTAT VELLA,2023-03-11,NO2,background,urban,GREEN_AREA_Q3,Low,Good,9.208333333333334
SARRIÀ - SANT GERVASI,2023-03-11,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,4.208333333333333
HORTA - GUINARDÓ,2023-03-11,O3,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,67.45833333333333
GRÀCIA,2023-03-11,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,1.5833333333333333
EIXAMPLE,2023-03-11,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,295.8333333333333
GRÀCIA,2023-03-11,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,220.83333333333334
LES CORTS,2023-03-11,PM2.5,background,urban,GREEN_AREA_Q2,Low,Reasonably good,5.458333333333333
LES CORTS,2023-03-11,PM10,background,urban,GREEN_AREA_Q2,Low,Good,9.458333333333334
SARRIÀ - SANT GERVASI,2023-03-11,O3,background,suburban,GREEN_AREA_Q1,Low,Regular,72.45833333333333
HORTA - GUINARDÓ,2023-03-11,NO2,background,urban,GREEN_AREA_Q1,Moderate,Good,9.833333333333334
SARRIÀ - SANT GERVASI,2023-03-11,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,4.958333333333333
LES CORTS,2023-03-11,NO2,background,urban,GREEN_AREA_Q2,Low,Good,8.125
EIXAMPLE,2023-03-11,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,7.833333333333333
GRÀCIA,2023-03-11,NOX,traffic,urban,GREEN_AREA_Q4,Low,Good,12.791666666666666
SANTS - MONTJUÏC,2023-03-11,NOX,background,urban,GREEN_AREA_Q2,High,Good,11.333333333333334
NOU BARRIS - SANT ANDREU,2023-03-11,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Good,15.166666666666666
SANT MARTÍ,2023-03-11,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,30.791666666666668
EIXAMPLE,2023-03-11,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,20.5
NOU BARRIS - SANT ANDREU,2023-03-11,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,2.0
LES CORTS,2023-03-11,O3,background,urban,GREEN_AREA_Q2,Low,Reasonably good,68.33333333333333
HORTA - GUINARDÓ,2023-03-11,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,200.0
GRÀCIA,2023-03-11,O3,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,66.66666666666667
GRÀCIA,2023-03-11,NO2,traffic,urban,GREEN_AREA_Q4,Low,Good,11.833333333333334
SANT MARTÍ,2023-03-11,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,1.4583333333333333
LES CORTS,2023-03-11,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.7083333333333335
LES CORTS,2023-03-11,NOX,background,urban,GREEN_AREA_Q2,Low,Good,8.5
EIXAMPLE,2023-03-11,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,32.208333333333336
HORTA - GUINARDÓ,2023-03-11,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,3.0
GRÀCIA,2023-03-11,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.5833333333333333
CIUTAT VELLA,2023-03-11,NO,background,urban,GREEN_AREA_Q3,Low,Good,1.1666666666666667
CIUTAT VELLA,2023-03-11,O3,background,urban,GREEN_AREA_Q3,Low,Reasonably good,67.58333333333333
HORTA - GUINARDÓ,2023-03-11,NOX,background,urban,GREEN_AREA_Q1,Moderate,Good,11.125
CIUTAT VELLA,2023-03-11,NOX,background,urban,GREEN_AREA_Q3,Low,Good,10.166666666666666
SANT MARTÍ,2023-03-11,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Good,9.708333333333334
NOU BARRIS - SANT ANDREU,2023-03-11,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Good,12.125
SANTS - MONTJUÏC,2023-03-11,NO2,background,urban,GREEN_AREA_Q2,High,Good,10.333333333333334
HORTA - GUINARDÓ,2023-03-11,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,1.2083333333333333
LES CORTS,2023-03-11,CO,background,urban,GREEN_AREA_Q2,Low,Good,229.16666666666666
GRÀCIA,2023-03-11,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,25.5
LES CORTS,2023-03-11,NO,background,urban,GREEN_AREA_Q2,Low,Good,1.0
SANT MARTÍ,2023-03-11,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Good,11.541666666666666
EIXAMPLE,2023-03-10,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.0
LES CORTS,2023-03-10,NOX,background,urban,GREEN_AREA_Q2,Low,Good,6.25
SANT MARTÍ,2023-03-10,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,25.75
SANTS - MONTJUÏC,2023-03-10,NO2,background,urban,GREEN_AREA_Q2,High,Good,10.083333333333334
SARRIÀ - SANT GERVASI,2023-03-10,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.0
SARRIÀ - SANT GERVASI,2023-03-10,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,4.958333333333333
GRÀCIA,2023-03-10,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,1.5833333333333333
SANT MARTÍ,2023-03-10,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,2.7916666666666665
CIUTAT VELLA,2023-03-10,O3,background,urban,GREEN_AREA_Q3,Low,Good,58.625
SANTS - MONTJUÏC,2023-03-10,NOX,background,urban,GREEN_AREA_Q2,High,Good,11.458333333333334
HORTA - GUINARDÓ,2023-03-10,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,200.0
SARRIÀ - SANT GERVASI,2023-03-10,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,17.625
LES CORTS,2023-03-10,PM10,background,urban,GREEN_AREA_Q2,Low,Good,8.458333333333334
EIXAMPLE,2023-03-10,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,6.041666666666667
GRÀCIA,2023-03-10,NOX,traffic,urban,GREEN_AREA_Q4,Low,Good,14.0
HORTA - GUINARDÓ,2023-03-10,NOX,background,urban,GREEN_AREA_Q1,Moderate,Good,9.125
EIXAMPLE,2023-03-10,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,31.75
LES CORTS,2023-03-10,PM2.5,background,urban,GREEN_AREA_Q2,Low,Good,3.7916666666666665
NOU BARRIS - SANT ANDREU,2023-03-10,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,2.4166666666666665
SARRIÀ - SANT GERVASI,2023-03-10,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,4.0
LES CORTS,2023-03-10,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.7916666666666665
SANT MARTÍ,2023-03-10,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,24.625
HORTA - GUINARDÓ,2023-03-10,O3,background,urban,GREEN_AREA_Q1,Moderate,Regular,77.375
SANT MARTÍ,2023-03-10,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,20.625
HORTA - GUINARDÓ,2023-03-10,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,1.0833333333333333
GRÀCIA,2023-03-10,NO2,traffic,urban,GREEN_AREA_Q4,Low,Good,13.125
LES CORTS,2023-03-10,CO,background,urban,GREEN_AREA_Q2,Low,Good,200.0
SANTS - MONTJUÏC,2023-03-10,NO,background,urban,GREEN_AREA_Q2,High,Good,1.2916666666666667
LES CORTS,2023-03-10,NO,background,urban,GREEN_AREA_Q2,Low,Good,1.0416666666666667
CIUTAT VELLA,2023-03-10,NO,background,urban,GREEN_AREA_Q3,Low,Good,5.083333333333333
LES CORTS,2023-03-10,O3,background,urban,GREEN_AREA_Q2,Low,Regular,78.83333333333333
GRÀCIA,2023-03-10,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,212.5
EIXAMPLE,2023-03-10,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,59.666666666666664
NOU BARRIS - SANT ANDREU,2023-03-10,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Good,17.25
LES CORTS,2023-03-10,NO2,background,urban,GREEN_AREA_Q2,Low,Good,5.416666666666667
CIUTAT VELLA,2023-03-10,NOX,background,urban,GREEN_AREA_Q3,Low,Reasonably good,32.916666666666664
GRÀCIA,2023-03-10,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,23.333333333333332
GRÀCIA,2023-03-10,O3,traffic,urban,GREEN_AREA_Q4,Low,Regular,72.79166666666667
HORTA - GUINARDÓ,2023-03-10,NO2,background,urban,GREEN_AREA_Q1,Moderate,Good,8.375
GRÀCIA,2023-03-10,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.4166666666666667
HORTA - GUINARDÓ,2023-03-10,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,3.0
CIUTAT VELLA,2023-03-10,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,25.458333333333332
EIXAMPLE,2023-03-10,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,241.66666666666666
EIXAMPLE,2023-03-10,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,23.0
NOU BARRIS - SANT ANDREU,2023-03-10,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,20.916666666666668
SARRIÀ - SANT GERVASI,2023-03-10,O3,background,suburban,GREEN_AREA_Q1,Low,Unfavorable,82.0
EIXAMPLE,2023-03-09,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,291.6666666666667
GRÀCIA,2023-03-09,PM10,traffic,urban,GREEN_AREA_Q4,Low,Good,18.25
GRÀCIA,2023-03-09,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,412.5
CIUTAT VELLA,2023-03-09,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,36.916666666666664
GRÀCIA,2023-03-09,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,12.708333333333334
LES CORTS,2023-03-09,PM2.5,background,urban,GREEN_AREA_Q2,Low,Good,4.791666666666667
SANT MARTÍ,2023-03-09,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Good,16.583333333333332
CIUTAT VELLA,2023-03-09,O3,background,urban,GREEN_AREA_Q3,Low,Good,35.333333333333336
LES CORTS,2023-03-09,O3,background,urban,GREEN_AREA_Q2,Low,Good,45.833333333333336
NOU BARRIS - SANT ANDREU,2023-03-09,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,7.583333333333333
LES CORTS,2023-03-09,SO2,background,urban,GREEN_AREA_Q2,Low,Good,3.0
NOU BARRIS - SANT ANDREU,2023-03-09,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,29.25
NOU BARRIS - SANT ANDREU,2023-03-09,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Regular,40.708333333333336
SARRIÀ - SANT GERVASI,2023-03-09,O3,background,suburban,GREEN_AREA_Q1,Low,Reasonably good,63.541666666666664
HORTA - GUINARDÓ,2023-03-09,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,24.25
SANT MARTÍ,2023-03-09,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,7.458333333333333
SARRIÀ - SANT GERVASI,2023-03-09,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.625
SARRIÀ - SANT GERVASI,2023-03-09,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,8.0
SARRIÀ - SANT GERVASI,2023-03-09,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,8.666666666666666
SARRIÀ - SANT GERVASI,2023-03-09,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,10.041666666666666
LES CORTS,2023-03-09,NO2,background,urban,GREEN_AREA_Q2,Low,Reasonably good,25.791666666666668
LES CORTS,2023-03-09,CO,background,urban,GREEN_AREA_Q2,Low,Good,208.33333333333334
LES CORTS,2023-03-09,PM10,background,urban,GREEN_AREA_Q2,Low,Good,8.583333333333334
HORTA - GUINARDÓ,2023-03-09,NO2,background,urban,GREEN_AREA_Q1,Moderate,Good,17.833333333333332
HORTA - GUINARDÓ,2023-03-09,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,216.66666666666666
HORTA - GUINARDÓ,2023-03-09,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,4.541666666666667
CIUTAT VELLA,2023-03-09,NO,background,urban,GREEN_AREA_Q3,Low,Good,7.208333333333333
CIUTAT VELLA,2023-03-09,NOX,background,urban,GREEN_AREA_Q3,Low,Regular,47.541666666666664
GRÀCIA,2023-03-09,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,31.333333333333332
GRÀCIA,2023-03-09,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.5416666666666667
GRÀCIA,2023-03-09,NOX,traffic,urban,GREEN_AREA_Q4,Low,Unfavorable,50.0
EIXAMPLE,2023-03-09,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Regular,42.166666666666664
EIXAMPLE,2023-03-09,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,20.208333333333332
SANT MARTÍ,2023-03-09,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Regular,44.5
SANTS - MONTJUÏC,2023-03-09,NO,background,urban,GREEN_AREA_Q2,High,Good,8.5
SANT MARTÍ,2023-03-09,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,33.5
EIXAMPLE,2023-03-09,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,28.625
LES CORTS,2023-03-09,NO,background,urban,GREEN_AREA_Q2,Low,Good,11.666666666666666
LES CORTS,2023-03-09,NOX,background,urban,GREEN_AREA_Q2,Low,Regular,43.041666666666664
SANTS - MONTJUÏC,2023-03-09,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,28.583333333333332
SANTS - MONTJUÏC,2023-03-09,NOX,background,urban,GREEN_AREA_Q2,High,Regular,41.291666666666664
GRÀCIA,2023-03-09,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,41.291666666666664
HORTA - GUINARDÓ,2023-03-09,O3,background,urban,GREEN_AREA_Q1,Moderate,Good,53.916666666666664
HORTA - GUINARDÓ,2023-03-09,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,3.125
EIXAMPLE,2023-03-09,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,72.75
EIXAMPLE,2023-03-09,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.0
EIXAMPLE,2023-03-08,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,283.3333333333333
HORTA - GUINARDÓ,2023-03-08,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,1.5416666666666667
GRÀCIA,2023-03-08,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,9.166666666666666
CIUTAT VELLA,2023-03-08,NOX,background,urban,GREEN_AREA_Q3,Low,Unfavorable,61.958333333333336
LES CORTS,2023-03-08,NO,background,urban,GREEN_AREA_Q2,Low,Good,6.039076508333333
SANT MARTÍ,2023-03-08,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Regular,40.375
SANTS - MONTJUÏC,2023-03-08,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,33.708333333333336
NOU BARRIS - SANT ANDREU,2023-03-08,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Regular,42.166666666666664
SARRIÀ - SANT GERVASI,2023-03-08,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,7.625
NOU BARRIS - SANT ANDREU,2023-03-08,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,8.375
NOU BARRIS - SANT ANDREU,2023-03-08,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Unfavorable,54.666666666666664
EIXAMPLE,2023-03-08,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,63.416666666666664
SARRIÀ - SANT GERVASI,2023-03-08,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,8.75
SARRIÀ - SANT GERVASI,2023-03-08,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,14.666666666666666
LES CORTS,2023-03-08,PM2.5,background,urban,GREEN_AREA_Q2,Low,Reasonably good,9.179701508333332
LES CORTS,2023-03-08,SO2,background,urban,GREEN_AREA_Q2,Low,Good,3.8828265083333338
LES CORTS,2023-03-08,O3,background,urban,GREEN_AREA_Q2,Low,Good,40.25782650833333
LES CORTS,2023-03-08,PM10,background,urban,GREEN_AREA_Q2,Low,Good,16.5710481969697
